iter	Passed	Remaining
596	1800	1215
597	1803	1212
598	1806	1209
599	1808	1205
600	1811	1202
601	1814	1199
602	1817	1196
603	1820	1193
604	1823	1190
605	1826	1187
606	1829	1184
607	1832	1181
608	1835	1178
609	1838	1175
610	1840	1172
611	1843	1169
612	1846	1165
613	1849	1163
614	1852	1159
615	1855	1156
616	1858	1153
617	1861	1150
618	1864	1147
619	1867	1144
620	1870	1141
621	1872	1137
622	1875	1134
623	1878	1131
624	1880	1128
625	1883	1125
626	1886	1122
627	1889	1119
628	1892	1116
629	1895	1113
630	1898	1110
631	1901	1106
632	1903	1103
633	1906	1100
634	1909	1097
635	1912	1094
636	1914	1091
637	1917	1088
638	1920	1085
639	1923	1082
640	1926	1079
641	1929	1075
642	1932	1073
643	1935	1070
644	1938	1067
645	1942	1064
646	1945	1061
647	1948	1058
648	1951	1055
649	1954	1052
650	1957	1049
651	1960	1046
652	1963	1043
653	1966	1040
654	1969	1037
655	1972	1034
656	1975	1031
657	1978	1028
658	1980	1025
659	1983	1021
660	1986	1018
661	1990	1016
662	1993	1013
663	1996	1010
664	1998	1006
665	2002	1004
666	2005	1001
667	2008	998
668	2011	995
669	2014	992
670	2017	989
671	2020	986
672	2023	983
673	2027	980
674	2030	977
675	2033	974
676	2037	972
677	2041	969
678	2045	966
679	2048	963
680	2051	960
681	2054	957
682	2057	954
683	2060	952
684	2063	948
685	2066	945
686	2069	942
687	2072	939
688	2076	937
689	2079	934
690	2082	931
691	2084	927
692	2088	925
693	2091	922
694	2094	919
695	2097	915
696	2100	913
697	2102	909
698	2105	906
699	2107	903
700	2110	900
701	2113	897
702	2115	893
703	2118	890
704	2121	887
705	2124	884
706	2126	881
707	2128	878
708	2131	874
709	2134	871
710	2137	868
711	2139	865
712	2143	862
713	2146	859
714	2149	856
715	2152	853
716	2154	850
717	2157	847
718	2160	844
719	2163	841
720	2165	838
721	2169	835
722	2171	832
723	2174	828
724	2176	825
725	2179	822
726	2182	819
727	2185	816
728	2188	813
729	2191	810
730	2194	807
731	2197	804
732	2200	801
733	2202	798
734	2205	795
735	2207	791
736	2210	788
737	2213	785
738	2215	782
739	2218	779
740	2221	776
741	2223	773
742	2226	770
743	2228	766
744	2231	763
745	2233	760
746	2236	757
747	2238	754
748	2241	751
749	2243	747
750	2246	744
751	2248	741
752	2251	738
753	2253	735
754	2255	732
755	2258	728
756	2260	725
757	2263	722
758	2265	719
759	2268	716
760	2271	713
761	2274	710
762	2276	707
763	2279	704
764	2282	701
765	2284	698
766	2287	694
767	2290	691
768	2293	688
769	2295	685
770	2297	682
771	2300	679
772	2303	676
773	2305	673
774	2308	670
775	2310	667
776	2313	663
777	2316	660
778	2318	657
779	2321	654
780	2323	651
781	2326	648
782	2328	645
783	2331	642
784	2333	639
785	2336	636
786	2338	632
787	2341	629
788	2344	626
789	2346	623
790	2349	620
791	2352	617
792	2355	614
793	2358	611
794	2361	608
795	2363	605
796	2366	602
797	2368	599
798	2371	596
799	2374	593
800	2376	590
801	2379	587
802	2381	584
803	2384	581
804	2386	578
805	2388	574
806	2391	571
807	2393	568
808	2396	565
809	2398	562
810	2401	559
811	2403	556
812	2406	553
813	2408	550
814	2411	547
815	2413	544
816	2416	541
817	2419	538
818	2421	535
819	2424	532
820	2426	529
821	2429	526
822	2431	522
823	2434	519
824	2437	516
825	2440	514
826	2442	510
827	2445	507
828	2447	504
829	2450	501
830	2453	498
831	2456	495
832	2458	492
833	2461	489
834	2463	486
835	2466	483
836	2468	480
837	2471	477
